title,community,ApartmentTpye,perPrice,address,houseSize,down-payment,startYear,toward,pricePerMonth,houseTpye,floor,decorate,rightLimit,lift,houseAge,rightProperty,SingelHouse,detailUrl
单价9字头 首付18万学位房 财富海景 一线望江超靓户型,财富海景,3室2厅1卫,10000 元/m²,江海区－外海－364省道,89平方米,26.70万,2015年,南,,普通住宅,中层(共31层),毛坯,70年,有,满二年,商品房,是,https://jiangmen.anjuke.com/prop/view/A1649737482?from=filter&spread=commsearch_p&position=11&kwtype=filter&now_time=1556388198
外海翡翠华府 首付低至28万 家私家电全送  带名校学位,外海翡翠华府,3室2厅1卫,11529 元/m²,江海区－外海－中华大道,85平方米,29.40万,2015年,南,,普通住宅,中层(共12层),豪华装修,70年,有,满二年,商品房,是,https://jiangmen.anjuke.com/prop/view/A1655948209?from=filter&spread=commsearch_p&position=12&kwtype=filter&now_time=1556388198
恒晖花园  精装3房 带家私家电 红本在手业主急售价格可以谈,恒晖花园,3室2厅2卫,3061 元/m²,鹤山市－中山路－新城路,98平方米,9.00万,2005年,南,,普通住宅,高层(共7层),精装修,70年,有,满五年,商品房,是,https://jiangmen.anjuke.com/prop/view/A1665995125?from=filter&spread=commsearch_p&position=13&kwtype=filter&now_time=1556388198
外海金色海伦湾 毛坯3房首付低 户型非常好 带学位 随时看房,海伦湾,3室2厅1卫,10444 元/m²,江海区－外海－江海五路,90平方米,28.20万,2016年,南,,普通住宅,高层(共26层),毛坯,70年,有,满二年,商品房,是,https://jiangmen.anjuke.com/prop/view/A1647529996?from=filter&spread=commsearch_p&position=14&kwtype=filter&now_time=1556388198
好消息！可低首付二十万！精装三房！看中价格可谈！进线送车位！,越秀星汇名庭,3室2厅2卫,10405 元/m²,北新－北新区－北环路,91.3平方米,28.50万,2013年,南,,普通住宅,中层(共18层),精装修,70年,有,满二年,商品房,是,https://jiangmen.anjuke.com/prop/view/A1662652629?from=filter&spread=commsearch_p&position=15&kwtype=filter&now_time=1556388198
曙光东中学附近舒适层豪华装修,曙光东路161号小区,3室2厅2卫,4250 元/m²,开平市－幸福－曙光东路161号,80平方米,10.20万,2004年,东南,,普通住宅,低层(共7层),豪华装修,70年,无,满二年,商品房,是,https://jiangmen.anjuke.com/prop/view/A1644204518?from=filter&spread=commsearch_p&position=16&kwtype=filter&now_time=1556388198
粤港澳大湾区 蓬江电梯房 单价9字头 首付30万 智能家居,美的雅居乐公园天璟,3室2厅2卫,10000 元/m²,蓬江区－滨江新区－芝山大道,96平方米,28.80万,2019年,南,,普通住宅,中层(共28层),精装修,70年,有,满五年,商品房,是,https://jiangmen.anjuke.com/prop/view/A1624584081?from=filter&spread=commsearch_p&position=17&kwtype=filter&now_time=1556388198
同小区至高性价比 不用100万买电梯中高层三房 业主只求秒杀,奥园冠军城,3室2厅1卫,10795 元/m²,蓬江区－汽车总站－建设三路23、25号,88平方米,28.50万,2010年,南北,,普通住宅,中层(共28层),毛坯,70年,有,满二年,商品房,否,https://jiangmen.anjuke.com/prop/view/A1670199113?from=filter&spread=commsearch_p&position=18&kwtype=filter&now_time=1556388198
蓬江 金汇豪庭 精装3房 益华购物广场旁边 菜市场停车位均有,金汇豪庭,3室2厅2卫,8421 元/m²,蓬江区－育德－丰康路37-101号,95平方米,24.00万,2012年,南北,,普通住宅,高层(共14层),精装修,70年,有,满五年,商品房,是,https://jiangmen.anjuke.com/prop/view/A1656302795?from=filter&spread=commsearch_p&position=19&kwtype=filter&now_time=1556388198
十里方圆 首付7万月供2900 易达广场旁 精装三房省级学位,十里方圆,3室2厅2卫,7009 元/m²,鹤山市－中山路－大雁山风景区西麓,117平方米,24.60万,2016年,南,,普通住宅,中层(共32层),精装修,70年,有,不满二年,商品房,否,https://jiangmen.anjuke.com/prop/view/A1668889411?from=filter&spread=commsearch_p&position=20&kwtype=filter&now_time=1556388198
首付9.9万，单价8字头带中心小学学位，茵雅轩电梯毛坯三房,茵雅轩,3室2厅1卫,8090 元/m²,江海区－外海－阳山路2巷2号,88.5平方米,21.48万,2015年,南,,普通住宅,低层(共11层),毛坯,70年,有,满二年,商品房,是,https://jiangmen.anjuke.com/prop/view/A1620760027?from=filter&spread=commsearch_p&position=21&kwtype=filter&now_time=1556388198
轻轨站旁，电梯洋房，首付21万买全新三房，送家私家电。,江海碧桂园,3室2厅1卫,10529 元/m²,江海区－滘头－仁美里103号,85平方米,26.85万,2013年,北,,普通住宅,高层(共18层),精装修,70年,有,满二年,商品房,否,https://jiangmen.anjuke.com/prop/view/A1650388526?from=filter&spread=commsearch_p&position=22&kwtype=filter&now_time=1556388198
业主洒泪价出售 首付18万 单价9字头 财富海景公立学位房,财富海景,3室2厅1卫,9889 元/m²,江海区－外海－364省道,90平方米,26.70万,2014年,南,,普通住宅,低层(共31层),毛坯,70年,有,满二年,商品房,否,https://jiangmen.anjuke.com/prop/view/A1648427709?from=filter&spread=commsearch_p&position=23&kwtype=filter&now_time=1556388198
中华园 步梯3楼 全新高档装修 南北对流3房户型,中华园,3室2厅2卫,4400 元/m²,鹤山市－中山路－新城路320号,80平方米,10.56万,2009年,南北,,普通住宅,中层(共7层),精装修,70年,有,满二年,商品房,是,https://jiangmen.anjuke.com/prop/view/A1666777900?from=filter&spread=commsearch_p&position=24&kwtype=filter&now_time=1556388198
急降5万 单9字头 首付15万买珑山居三房 省一级中心学位,珑山居,3室2厅2卫,9588 元/m²,江海区－中环广场－江海三路108号,97平方米,27.90万,2015年,南,,普通住宅,低层(共13层),毛坯,70年,有,满二年,商品房,否,https://jiangmen.anjuke.com/prop/view/A1624939878?from=filter&spread=commsearch_p&position=25&kwtype=filter&now_time=1556388198
联发悦澜山 户型超实用 全新一手楼 单价低出你想象 欢迎咨询,灏景园,3室2厅2卫,9892 元/m²,蓬江区－乐宜居－杜阮北一路,93平方米,27.60万,2018年,南,,普通住宅,中层(共21层),精装修,70年,有,满五年,商品房,是,https://jiangmen.anjuke.com/prop/view/A1664321895?from=filter&spread=commsearch_p&position=26&kwtype=filter&now_time=1556388198
海伦湾稀有户型，中层毛坯三房，坐北向南，对流，家庭首 选,海伦湾,3室2厅2卫,10889 元/m²,江海区－外海－江海五路,90平方米,29.40万,2015年,南,,普通住宅,中层(共26层),毛坯,70年,有,满二年,商品房,否,https://jiangmen.anjuke.com/prop/view/A1612344488?from=filter&spread=commsearch_p&position=27&kwtype=filter&now_time=1556388198
十里方圆云玺 112房舒适三房  带入户花园 首付10万起,十里方圆,3室2厅2卫,7494 元/m²,鹤山市－中山路－大雁山风景区西麓,112.1平方米,25.20万,2020年,南,,普通住宅,低层(共33层),精装修,70年,有,不满二年,商品房,是,https://jiangmen.anjuke.com/prop/view/A1657637809?from=filter&spread=commsearch_p&position=28&kwtype=filter&now_time=1556388198
金碧家园 三房两厅两卫 小学旁 全新装修拎包入住 望小区,金碧嘉园,3室2厅2卫,7364 元/m²,鹤山市－中山路－新城路,110平方米,24.30万,2013年,东南,,普通住宅,中层(共18层),精装修,70年,有,满二年,商品房,是,https://jiangmen.anjuke.com/prop/view/A1639720232?from=filter&spread=commsearch_p&position=29&kwtype=filter&now_time=1556388198
鹤山十里方圆 轻轨口楼盘 大社区 单价仅8字头带精装 带学位,十里方圆,3室2厅2卫,7824 元/m²,鹤山市－中山路－大雁山风景区西麓,108平方米,25.35万,2013年,南北,,普通住宅,中层(共32层),精装修,70年,有,满五年,商品房,是,https://jiangmen.anjuke.com/prop/view/A1670352436?from=filter&spread=commsearch_p&position=30&kwtype=filter&now_time=1556388198
即将装电梯了 首付21万 怡福学位 育德街一带 大3房,怡兴苑,3室2厅2卫,6241 元/m²,蓬江区－育德－乐美路,133平方米,24.90万,2001年,南北,,普通住宅,高层(共8层),精装修,70年,无,满二年,商品房,是,https://jiangmen.anjuke.com/prop/view/A1639248404?from=filter&spread=commsearch_p&position=31&kwtype=filter&now_time=1556388198
十里方圆   8字头精装 团购优惠倒计时,十里方圆,3室2厅1卫,8706 元/m²,鹤山市－中山路－大雁山风景区西麓,85平方米,22.20万,2018年,北,,普通住宅,高层(共32层),精装修,70年,有,不满二年,商品房,是,https://jiangmen.anjuke.com/prop/view/A1595174433?from=filter&spread=commsearch_p&position=32&kwtype=filter&now_time=1556388198
东庆南全马 生活交通便利 舒适靓仔三房 楼下停车位多,东庆南路8号1座,3室2厅1卫,5978 元/m²,新会区－信合大厦－东庆南路8号,90平方米,16.14万,2001年,南北,,普通住宅,中层(共8层),豪华装修,70年,无,满五年,商品房,是,https://jiangmen.anjuke.com/prop/view/A1669547431?from=filter&spread=commsearch_p&position=33&kwtype=filter&now_time=1556388198
帝临南路，临近市场，样板房装修，格局超靓，低楼层。,帝临南路5号小区,3室2厅1卫,6444 元/m²,新会区－信合大厦－帝临南路5号,90平方米,17.40万,1999年,南北,,普通住宅,中层(共8层),豪华装修,70年,无,满二年,商品房,是,https://jiangmen.anjuke.com/prop/view/A1655002167?from=filter&spread=commsearch_p&position=34&kwtype=filter&now_time=1556388198
坚美园电梯洋房 2房2厅1卫 精装修 80方 66万,碧桂园坚美园,2室2厅1卫,8250 元/m²,鹤山市－坚美广场－鹤山大道,80平方米,19.80万,2012年,南,,普通住宅,高层(共9层),精装修,70年,有,满五年,商品房,是,https://jiangmen.anjuke.com/prop/view/A1618780192?from=filter&spread=commsearch_p&position=35&kwtype=filter&now_time=1556388198
灏景园精装3室2厅！,灏景园,3室2厅2卫,7961 元/m²,蓬江区－乐宜居－杜阮北一路,103平方米,24.60万,2005年,西南,,普通住宅,高层(共7层),精装修,70年,无,满五年,商品房,否,https://jiangmen.anjuke.com/prop/view/A1599957378?from=filter&spread=commsearch_p&position=36&kwtype=filter&now_time=1556388198
名雅苑 精装3房小区管理，临近大型北湖生态公园,名雅苑,3室2厅2卫,6019 元/m²,鹤山市－中山路－和平路171号,108平方米,19.50万,2000年,南北,,普通住宅,低层(共7层),精装修,70年,有,满五年,商品房,是,https://jiangmen.anjuke.com/prop/view/A1658655706?from=filter&spread=commsearch_p&position=37&kwtype=filter&now_time=1556388198
祥龙六区砖楼低楼层 靓仔豪华装修 送全屋家私 拎包入住,祥龙六区,3室2厅1卫,4523 元/m²,开平市－祥龙－祥龙六区31号,88平方米,11.94万,2008年,南,,普通住宅,中层(共7层),豪华装修,70年,无,满五年,经济适用房,是,https://jiangmen.anjuke.com/prop/view/A1640034070?from=filter&spread=commsearch_p&position=38&kwtype=filter&now_time=1556388198
天骄半岛 复式3可建4房 首付23万 景观户型 使用面积大,天骄半岛,4室2厅2卫,9874 元/m²,江海区－中环广场－富华路,95平方米,28.14万,2012年,南,,普通住宅,高层(共16层),毛坯,70年,有,满二年,商品房,否,https://jiangmen.anjuke.com/prop/view/A1652176515?from=filter&spread=commsearch_p&position=39&kwtype=filter&now_time=1556388198
蓬江 怡康华庭 精装3房 万达广场奥园广场旁 怡福中学旁,怡康华庭,3室2厅2卫,8535 元/m²,蓬江区－中天国际－白石大道138号,105.4平方米,27.00万,2008年,东南,,普通住宅,中层(共8层),豪华装修,满五年,是,https://jiangmen.anjuke.com/prop/view/A1565193220?from=filter&spread=commsearch_p&position=40&kwtype=filter&now_time=1556388198
五邑碧桂园步梯低楼层，边位楼，首期22万,五邑碧桂园,3室2厅2卫,8257 元/m²,蓬江区－蓬江周边－群福路,109平方米,27.00万,2009年,南,,普通住宅,共5层,简单装修,70年,无,满五年,商品房,是,https://jiangmen.anjuke.com/prop/view/A1636336073?from=filter&spread=commsearch_p&position=41&kwtype=filter&now_time=1556388198
保利 中高层，精装，售价85万,保利中央公园,3室2厅2卫,9551 元/m²,鹤山市－中山路－大鹏路,89平方米,25.50万,2016年,南北,,普通住宅,中层(共32层),精装修,70年,有,不满二年,商品房,是,https://jiangmen.anjuke.com/prop/view/A1656383494?from=filter&spread=commsearch_p&position=42&kwtype=filter&now_time=1556388198
十里方圆 首付1成6万起及送车位 名额有限 如看房请速度联系,十里方圆,3室2厅2卫,7339 元/m²,鹤山市－中山路－大雁山风景区西麓,109平方米,24.00万,2018年,南,,普通住宅,中层(共32层),精装修,70年,有,不满二年,商品房,是,https://jiangmen.anjuke.com/prop/view/A1660271095?from=filter&spread=commsearch_p&position=43&kwtype=filter&now_time=1556388198
鹤山十里方圆 8字头 带精装修 15万首付买学位房 单合同,十里方圆,3室2厅2卫,8037 元/m²,鹤山市－中山路－大雁山风景区西麓,107平方米,25.80万,2013年,南北,,普通住宅,中层(共32层),精装修,满五年,是,https://jiangmen.anjuke.com/prop/view/A1598181055?from=filter&spread=commsearch_p&position=44&kwtype=filter&now_time=1556388198
江海碧桂园，首付22万，精装3房，家私家电全送,江海碧桂园,3室2厅1卫,10651 元/m²,江海区－滘头－仁美里103号,84.5平方米,27.00万,2010年,北,,普通住宅,高层(共18层),精装修,70年,有,满二年,商品房,否,https://jiangmen.anjuke.com/prop/view/A1654294035?from=filter&spread=commsearch_p&position=45&kwtype=filter&now_time=1556388198
滘头江海碧桂园小高层[820层]83.40平精装修难找房子,江海碧桂园,3室2厅1卫,10791 元/m²,江海区－滘头－仁美里103号,83.4平方米,27.00万,2010年,北,,普通住宅,高层(共18层),精装修,70年,有,满五年,商品房,否,https://jiangmen.anjuke.com/prop/view/A1655740398?from=filter&spread=commsearch_p&position=46&kwtype=filter&now_time=1556388198
业主急卖，首付18万买碧桂园精装3房，家私家电全送，看房方便,江海碧桂园,3室2厅1卫,10476 元/m²,江海区－滘头－仁美里103号,84平方米,26.40万,2014年,北,,普通住宅,高层(共18层),精装修,70年,有,满五年,商品房,是,https://jiangmen.anjuke.com/prop/view/A1659603082?from=filter&spread=commsearch_p&position=47&kwtype=filter&now_time=1556388198
别怀疑你的眼睛 岭南印象全小区至笋价 电梯高层非顶楼,岭南印象,3室2厅2卫,10082 元/m²,蓬江区－地王广场－胜利北路,98平方米,29.64万,2013年,南北,,普通住宅,高层(共22层),毛坯,70年,有,满二年,商品房,否,https://jiangmen.anjuke.com/prop/view/A1655060955?from=filter&spread=commsearch_p&position=48&kwtype=filter&now_time=1556388198
怡兴苑中层 实用面积精装三房 怡福中学 丰乐小学,怡兴苑,3室2厅2卫,8381 元/m²,蓬江区－育德－乐美路,105平方米,26.40万,2001年,南北,,普通住宅,中层(共8层),精装修,70年,无,满五年,商品房,否,https://jiangmen.anjuke.com/prop/view/A1613758219?from=filter&spread=commsearch_p&position=49&kwtype=filter&now_time=1556388198
笋！首付27万！一口价买景贤学位！3房2厅2卫，高楼层视野开,康城,3室2厅2卫,11489 元/m²,江海区－中环广场－东海路,85.3平方米,29.40万,2016年,北,,普通住宅,高层(共29层),精装修,70年,有,满二年,商品房,否,https://jiangmen.anjuke.com/prop/view/A1666464448?from=filter&spread=commsearch_p&position=50&kwtype=filter&now_time=1556388198
首付3.8万即可拥有全新一手带精装修三房  星湖湾楼盘,恒大御景半岛,3室2厅2卫,10000 元/m²,江海区－中环广场－礼乐一路,97平方米,29.10万,2019年,南,,普通住宅,中层(共28层),精装修,不满二年,是,https://jiangmen.anjuke.com/prop/view/A1582640607?from=filter&spread=commsearch_p&position=51&kwtype=filter&now_time=1556388198
首付低 9500一平方起 美的公园天璟 找我买再送折上折！,美的雅居乐公园天璟,3室2厅2卫,10208 元/m²,蓬江区－滨江新区－芝山大道,96平方米,29.40万,2017年,南,,普通住宅,中层(共27层),豪华装修,70年,有,不满二年,商品房,否,https://jiangmen.anjuke.com/prop/view/A1603021253?from=filter&spread=commsearch_p&position=52&kwtype=filter&now_time=1556388198
十里方圆 现时推出全新11栋 精装3房2厅 楼层任选 ！,十里方圆,3室2厅2卫,7471 元/m²,鹤山市－中山路－大雁山风景区西麓,87平方米,19.50万,2018年,南北,,普通住宅,中层(共30层),精装修,不满二年,否,https://jiangmen.anjuke.com/prop/view/A1630293278?from=filter&spread=commsearch_p&position=53&kwtype=filter&now_time=1556388198
19.8万首期，城市名庭12楼，3房2厅2卫，一字楼，93.,城市名庭,3室2厅2卫,11035 元/m²,新会区－新会周边－会城大道,85平方米,28.14万,2014年,南,,普通住宅,中层(共28层),毛坯,70年,有,满二年,商品房,是,https://jiangmen.anjuke.com/prop/view/A1668365837?from=filter&spread=commsearch_p&position=54&kwtype=filter&now_time=1556388198
低层对流！银泉花园116方，三房二卫，精装，售87万。,银泉花园E区,3室2厅2卫,7500 元/m²,江海区－中环广场－吉泉街,116平方米,26.10万,2005年,南北,,普通住宅,低层(共7层),精装修,70年,无,满五年,商品房,是,https://jiangmen.anjuke.com/prop/view/A1657890981?from=filter&spread=commsearch_p&position=55&kwtype=filter&now_time=1556388198
银泉花园E区，首付25万，南北对流大三房，中低层健步好走。,银泉花园E区,3室2厅2卫,7490 元/m²,江海区－中环广场－吉泉街,116.2平方米,26.10万,2006年,南北,,普通住宅,低层(共7层),简单装修,70年,有,满五年,商品房,否,https://jiangmen.anjuke.com/prop/view/A1668028110?from=filter&spread=commsearch_p&position=56&kwtype=filter&now_time=1556388198
实验学位，华园南健步五楼，豪装温馨3房，小区周边配套成熟。,华园路小区,3室2厅1卫,5618 元/m²,蓬江区－五邑中医院－华园中路,89平方米,15.00万,1995年,南,,普通住宅,中层(共8层),豪华装修,70年,无,满二年,商品房,是,https://jiangmen.anjuke.com/prop/view/A1645028694?from=filter&spread=commsearch_p&position=57&kwtype=filter&now_time=1556388198
单价9字头，首付18万，精装温馨两房，家私电全送，中心小学,帕佳图观园,2室2厅1卫,9832 元/m²,江海区－外海－江海四路60号,83.4平方米,24.60万,2014年,南北,,普通住宅,低层(共14层),精装修,70年,有,满五年,商品房,否,https://jiangmen.anjuke.com/prop/view/A1662214720?from=filter&spread=commsearch_p&position=58&kwtype=filter&now_time=1556388198
首付18万买精装温馨两房，家私电全送，省一级,帕佳图观园,2室2厅1卫,10192 元/m²,江海区－外海－江海四路60号,83.4平方米,25.50万,2014年,东南,,普通住宅,中层(共15层),简单装修,70年,有,满二年,商品房,否,https://jiangmen.anjuke.com/prop/view/A1662221612?from=filter&spread=commsearch_p&position=59&kwtype=filter&now_time=1556388198
17万首期 婚房带学位 中高楼层 江景小区 交通便利配套成熟,海伦湾,3室2厅2卫,10000 元/m²,江海区－外海－江海五路,98平方米,29.40万,2015年,南,,普通住宅,中层(共31层),毛坯,70年,有,满二年,商品房,是,https://jiangmen.anjuke.com/prop/view/A1637354793?from=filter&spread=commsearch_p&position=60&kwtype=filter&now_time=1556388198
轻轨站旁兴南小区，朝南精装大三房，天鹅湾小学，拎包入住！,兴南小区,3室2厅1卫,6186 元/m²,江海区－中环广场－东海路,118平方米,21.90万,1999年,南北,,普通住宅,中层(共9层),简单装修,满二年,是,https://jiangmen.anjuke.com/prop/view/A1631211761?from=filter&spread=commsearch_p&position=61&kwtype=filter&now_time=1556442280
笋盘，装修保养新净，温馨舒适，读中 心小 学,外海翡翠华府,3室2厅2卫,11524 元/m²,江海区－外海－中华大道,99.8平方米,34.50万,2014年,西北,,普通住宅,中层(共11层),精装修,满二年,否,https://jiangmen.anjuke.com/prop/view/A1633309299?from=filter&spread=commsearch_p&position=62&kwtype=filter&now_time=1556442280
机会不是天天有~单价9000~双套间~随时看房~君汇熙庭,君汇熙庭,3室2厅2卫,9091 元/m²,江海区－滘头－永康路29号,99平方米,27.00万,2016年,南,,普通住宅,低层(共25层),毛坯,70年,有,满二年,商品房,否,https://jiangmen.anjuke.com/prop/view/A1616065001?from=filter&spread=commsearch_p&position=63&kwtype=filter&now_time=1556442280
楼层好，视野广，汇侨新城 座北向南 毛坯出售,汇侨新城,3室2厅2卫,9380 元/m²,新会区－新会周边－冈州大道西2号,113平方米,31.80万,2013年,南,,普通住宅,低层(共18层),简单装修,满二年,否,https://jiangmen.anjuke.com/prop/view/A1623452695?from=filter&spread=commsearch_p&position=64&kwtype=filter&now_time=1556442280
鹤山碧桂园一楼！大三房带100方花园，精装火热抢房中！,鹤山碧桂园,3室2厅2卫,7061 元/m²,鹤山市－中山路－鹤山大道623号,130平方米,27.54万,2012年,南,,普通住宅,低层(共7层),精装修,不满二年,否,https://jiangmen.anjuke.com/prop/view/A1604202859?from=filter&spread=commsearch_p&position=65&kwtype=filter&now_time=1556442280
翡翠华府 电梯9楼南北对流豪华装修大3房带套间 环境优雅,翡翠华府,3室2厅2卫,9565 元/m²,蓬江区－江华小学－东华一路,115平方米,33.00万,2010年,南北,,普通住宅,中层(共19层),豪华装修,70年,有,满二年,商品房,是,https://jiangmen.anjuke.com/prop/view/A1609140278?from=filter&spread=commsearch_p&position=66&kwtype=filter&now_time=1556442280
新城雅苑简装修，心血和技术的结合，温馨居家缔造,新城雅苑,2室2厅1卫,7317 元/m²,江海区－中环广场－东宁路70号,82平方米,18.00万,2009年,北,,普通住宅,中层(共6层),简单装修,满二年,是,https://jiangmen.anjuke.com/prop/view/A1624655171?from=filter&spread=commsearch_p&position=67&kwtype=filter&now_time=1556442280
奥园温泉入户别墅 靠山瞰湖宜居宜住 单价便宜 专车 接送考察,奥园御山湖(别墅),5室3厅3卫,11250 元/m²,恩平市－恩平周边－泉林路1号,168平方米,56.70万,2018年,东南,,别墅,共3层,毛坯,70年,有,满二年,商品房,是,https://jiangmen.anjuke.com/prop/view/A1623799798?from=filter&spread=commsearch_p&position=68&kwtype=filter&now_time=1556442280
新城苑精装136方急售！4房2厅2卫只需90万，随时看房,新城苑,4室2厅2卫,6617 元/m²,鹤山市－中山路－新业路191号,136平方米,27.00万,2000年,东,,平房,低层(共8层),精装修,满五年,是,https://jiangmen.anjuke.com/prop/view/A1582426671?from=filter&spread=commsearch_p&position=69&kwtype=filter&now_time=1556442280
业主换了新房首付只需31万，骏景湾品峰，小区中心位置，不靠路,骏景湾品峰,3室2厅2卫,12982 元/m²,蓬江区－乐宜居－西环路,81.5平方米,31.74万,2015年,南,,普通住宅,低层(共32层),精装修,70年,有,不满二年,商品房,否,https://jiangmen.anjuke.com/prop/view/A1555675753?from=filter&spread=commsearch_p&position=70&kwtype=filter&now_time=1556442280
业主放大价！！ 上城铂雍汇精装3房 对流采光好  拎包入住！,上城铂雍汇,3室2厅2卫,13959 元/m²,蓬江区－滨江新区－新昌路,91.7平方米,38.40万,2014年,南,,普通住宅,高层(共28层),精装修,70年,有,不满二年,商品房,否,https://jiangmen.anjuke.com/prop/view/A1595341532?from=filter&spread=commsearch_p&position=71&kwtype=filter&now_time=1556442280
江海碧桂园 大湾区中心地段 单价一万出头 中高楼层景观好,江海碧桂园,3室2厅1卫,10585 元/m²,江海区－滘头－仁美里103号,88.8平方米,28.20万,2010年,北,,普通住宅,高层(共18层),精装修,不满二年,否,https://jiangmen.anjuke.com/prop/view/A1599132533?from=filter&spread=commsearch_p&position=72&kwtype=filter&now_time=1556442280
东门 侨雅电梯豪宅4楼 4房2厅加送入户花园 超豪装,侨雅花苑,4室2厅3卫,6461 元/m²,台山市－台山城区－白石路18号,230平方米,44.58万,2008年,南,,普通住宅,低层(共12层),豪华装修,70年,有,不满二年,商品房,否,https://jiangmen.anjuke.com/prop/view/A1627388500?from=filter&spread=commsearch_p&position=73&kwtype=filter&now_time=1556442280
江门二沙岛 电梯中层 精装修 对流三房 业主急售,天骄半岛,3室2厅2卫,8983 元/m²,江海区－中环广场－富华路,118平方米,31.80万,2010年,南北,,普通住宅,中层(共12层),精装修,70年,有,满二年,商品房,否,https://jiangmen.anjuke.com/prop/view/A1584255107?from=filter&spread=commsearch_p&position=74&kwtype=filter&now_time=1556442280
急！急！急！ 雍翠峰 142万 3室2厅2卫 精装修，急售！,雍翠峰,3室2厅2卫,11360 元/m²,新会区－人民会堂－圭阳北路29号,125平方米,42.60万,2016年,南北,,普通住宅,中层(共17层),精装修,70年,有,不满二年,商品房,否,https://jiangmen.anjuke.com/prop/view/A1608108741?from=filter&spread=commsearch_p&position=75&kwtype=filter&now_time=1556442280
